Country,State,LGA,Period,Persons with clinically diagnosed Malaria,Persons with confirmed uncomplicated Malaria,malaria_cases,Malaria Test Positivity Rate
Nigeria,Akwa-Ibom,Abak,1/1/2020,,859,859,72.5
Nigeria,Akwa-Ibom,Abak,2/1/2020,189,884,1073,70.9
Nigeria,Akwa-Ibom,Abak,3/1/2020,34,838,872,70
Nigeria,Akwa-Ibom,Abak,4/1/2020,68,758,826,71.5
Nigeria,Akwa-Ibom,Abak,5/1/2020,115,413,528,68.7
Nigeria,Akwa-Ibom,Abak,6/1/2020,46,723,769,77.4
Nigeria,Akwa-Ibom,Abak,7/1/2020,7,586,593,72.2
Nigeria,Akwa-Ibom,Abak,8/1/2020,36,946,982,79.4
Nigeria,Akwa-Ibom,Abak,9/1/2020,197,806,1003,60.5
Nigeria,Akwa-Ibom,Abak,10/1/2020,75,809,884,54
Nigeria,Akwa-Ibom,Abak,11/1/2020,97,814,911,55.1
Nigeria,Akwa-Ibom,Abak,12/1/2020,,724,724,55
Nigeria,Akwa-Ibom,Eastern Obolo,1/1/2020,,589,589,83.1
Nigeria,Akwa-Ibom,Eastern Obolo,2/1/2020,,517,517,84.6
Nigeria,Akwa-Ibom,Eastern Obolo,3/1/2020,,457,457,87.7
Nigeria,Akwa-Ibom,Eastern Obolo,4/1/2020,,319,319,88.6
Nigeria,Akwa-Ibom,Eastern Obolo,5/1/2020,,369,369,87
Nigeria,Akwa-Ibom,Eastern Obolo,6/1/2020,,527,527,88.6
Nigeria,Akwa-Ibom,Eastern Obolo,7/1/2020,,144,144,80
Nigeria,Akwa-Ibom,Eastern Obolo,8/1/2020,,366,366,83
Nigeria,Akwa-Ibom,Eastern Obolo,9/1/2020,,412,412,76.1
Nigeria,Akwa-Ibom,Eastern Obolo,10/1/2020,,375,375,71.3
Nigeria,Akwa-Ibom,Eastern Obolo,11/1/2020,,356,356,75.7
Nigeria,Akwa-Ibom,Eastern Obolo,12/1/2020,,288,288,70.7
Nigeria,Akwa-Ibom,Eket,1/1/2020,23,433,456,60.5
Nigeria,Akwa-Ibom,Eket,2/1/2020,,242,242,87.7
Nigeria,Akwa-Ibom,Eket,3/1/2020,14,358,372,51.1
Nigeria,Akwa-Ibom,Eket,4/1/2020,14,374,388,72.5
Nigeria,Akwa-Ibom,Eket,5/1/2020,17,303,320,74.6
Nigeria,Akwa-Ibom,Eket,6/1/2020,178,212,390,65.2
Nigeria,Akwa-Ibom,Eket,7/1/2020,90,98,188,56
Nigeria,Akwa-Ibom,Eket,8/1/2020,4,457,461,65.8
Nigeria,Akwa-Ibom,Eket,9/1/2020,12,351,363,57.2
Nigeria,Akwa-Ibom,Eket,10/1/2020,,359,359,56.2
Nigeria,Akwa-Ibom,Eket,11/1/2020,17,328,345,52.2
Nigeria,Akwa-Ibom,Eket,12/1/2020,,394,394,56.5
Nigeria,Akwa-Ibom,Esit Eket,1/1/2020,22,357,379,68.7
Nigeria,Akwa-Ibom,Esit Eket,2/1/2020,37,383,420,78.3
Nigeria,Akwa-Ibom,Esit Eket,3/1/2020,89,418,507,75.7
Nigeria,Akwa-Ibom,Esit Eket,4/1/2020,27,347,374,76.7
Nigeria,Akwa-Ibom,Esit Eket,5/1/2020,39,205,244,75
Nigeria,Akwa-Ibom,Esit Eket,6/1/2020,156,176,332,79.5
Nigeria,Akwa-Ibom,Esit Eket,7/1/2020,117,104,221,75.2
Nigeria,Akwa-Ibom,Esit Eket,8/1/2020,11,400,411,73.3
